0x00000000: 786F2EAB
0x00000004: 53FB439A
0x00000008: 5554F019
0x0000000C: 4B6F2380
0x00000010: 81D7E7B
0x00000014: 6C2CD19F
0x00000018: 7FB4702D
0x0000001C: 7F7461C7
0x00000020: 777B6E9B
0x00000024: 9250868
0x00000028: 3BABB5E5
0x0000002C: 51254E8C
0x00000030: 2436D09D
0x00000034: 164F6E2A
0x00000038: 1AA39E13
0x0000003C: 3D22B488
0x00000040: 2657A0D8
0x00000044: 40844AA6
0x00000048: 65E9A0CD
0x0000004C: 3029BF0
0x00000050: 731ECE57
0x00000054: 77D9E73B
0x00000058: 5C89EE78
0x0000005C: 208A865E
0x00000060: 76B8B84B
0x00000064: 5C929FC6
0x00000068: 3F243A76
0x0000006C: 30E7408
0x00000070: 2F9289BA
0x00000074: 15F2D3DC
0x00000078: 6B7AA1D6
0x0000007C: 2801B865
0x00000080: 69EE1776
0x00000084: 40CF91EF
0x00000088: 7370DBE5
0x0000008C: 720B95F1
0x00000090: 2CFC638E
0x00000094: 73254C12
0x00000098: 717FF7B9
0x0000009C: 2477D229
0x000000A0: 7C4A547B
0x000000A4: 2D2BAD9E
0x000000A8: 759D20B5
0x000000AC: 20812518
0x000000B0: 437B1BC8
0x000000B4: 1040BEC8
0x000000B8: 5DA3D9A0
0x000000BC: 69D2BCA0
0x000000C0: 50C5096F
0x000000C4: 438D7A6D
0x000000C8: 6CD55891
0x000000CC: 43E3D7C6
0x000000D0: 3B6761A9
0x000000D4: 495F4709
0x000000D8: 646E5E25
0x000000DC: 322019F4
0x000000E0: 25F1E6D0
0x000000E4: 2392989B
0x000000E8: 352E8DFD
0x000000EC: 5584708A
0x000000F0: 39856C77
0x000000F4: 20A92FD3
0x000000F8: 7D8628F0
0x000000FC: 237383ED
0x00000100: 6178C1C2
0x00000104: 70F704D5
0x00000108: 157F19DF
0x0000010C: E752550
0x00000110: 641C50E8
0x00000114: 6FF1198
0x00000118: 32ECF779
0x0000011C: 6066A563
0x00000120: 342ABF36
0x00000124: 288A182F
0x00000128: E7CA7B
0x0000012C: 77A5DAFE
0x00000130: 38CAD6F7
0x00000134: 5E8BA41B
0x00000138: 6178979F
0x0000013C: 98FE066
0x00000140: 22191E88
0x00000144: 4E4DF030
0x00000148: 4D73B82D
0x0000014C: 5D808031
0x00000150: 17AD3739
0x00000154: 31E21652
0x00000158: FA09A26
0x0000015C: 3D9F1E09
0x00000160: 5574AEED
0x00000164: 44CF2823
0x00000168: 13238E94
0x0000016C: EFA1B65
0x00000170: 657857F6
0x00000174: 10A9B784
0x00000178: 326D9F52
0x0000017C: 46F119B8
0x00000180: 1A0BC59
0x00000184: 47ECB931
0x00000188: 55663F08
0x0000018C: 65BD0D41
