0x00000000: 786F2EAB
0x00000002: 53FB439A
0x00000004: 5554F019
0x00000006: 4B6F2380
0x00000008: 081D7E7B
0x0000000A: 6C2CD19F
0x0000000C: 7FB4702D
0x0000000E: 7F7461C7
0x00000010: 777B6E9B
0x00000012: 09250868
0x00000014: 3BABB5E5
0x00000016: 51254E8C
0x00000018: 2436D09D
0x0000001A: 164F6E2A
0x0000001C: 1AA39E13
0x0000001E: 3D22B488
0x00000020: 2657A0D8
0x00000022: 40844AA6
0x00000024: 65E9A0CD
0x00000026: 03029BF0
0x00000028: 731ECE57
0x0000002A: 77D9E73B
0x0000002C: 5C89EE78
0x0000002E: 208A865E
0x00000030: 76B8B84B
0x00000032: 5C929FC6
0x00000034: 3F243A76
0x00000036: 030E7408
0x00000038: 2F9289BA
0x0000003A: 15F2D3DC
0x0000003C: 6B7AA1D6
0x0000003E: 2801B865
0x00000040: 69EE1776
0x00000042: 40CF91EF
0x00000044: 7370DBE5
0x00000046: 720B95F1
0x00000048: 2CFC638E
0x0000004A: 73254C12
0x0000004C: 717FF7B9
0x0000004E: 2477D229
0x00000050: 7C4A547B
0x00000052: 2D2BAD9E
0x00000054: 759D20B5
0x00000056: 20812518
0x00000058: 437B1BC8
0x0000005A: 1040BEC8
0x0000005C: 5DA3D9A0
0x0000005E: 69D2BCA0
0x00000060: 50C5096F
0x00000062: 438D7A6D
0x00000064: 6CD55891
0x00000066: 43E3D7C6
0x00000068: 3B6761A9
0x0000006A: 495F4709
0x0000006C: 646E5E25
0x0000006E: 322019F4
0x00000070: 25F1E6D0
0x00000072: 2392989B
0x00000074: 352E8DFD
0x00000076: 5584708A
0x00000078: 39856C77
0x0000007A: 20A92FD3
0x0000007C: 7D8628F0
0x0000007E: 237383ED
0x00000080: 6178C1C2
0x00000082: 70F704D5
0x00000084: 157F19DF
0x00000086: 0E752550
0x00000088: 641C50E8
0x0000008A: 06FF1198
0x0000008C: 32ECF779
0x0000008E: 6066A563
0x00000090: 342ABF36
0x00000092: 288A182F
0x00000094: 00E7CA7B
0x00000096: 77A5DAFE
0x00000098: 38CAD6F7
0x0000009A: 5E8BA41B
0x0000009C: 6178979F
0x0000009E: 098FE066
0x000000A0: 22191E88
0x000000A2: 4E4DF030
0x000000A4: 4D73B82D
0x000000A6: 5D808031
0x000000A8: 17AD3739
0x000000AA: 31E21652
0x000000AC: 0FA09A26
0x000000AE: 3D9F1E09
0x000000B0: 5574AEED
0x000000B2: 44CF2823
0x000000B4: 13238E94
0x000000B6: 0EFA1B65
0x000000B8: 657857F6
0x000000BA: 10A9B784
0x000000BC: 326D9F52
0x000000BE: 46F119B8
0x000000C0: 01A0BC59
0x000000C2: 47ECB931
0x000000C4: 55663F08
0x000000C6: 65BD0D41
